================================================================================
                                     S L S                                      
                                  version: 3.3                                  
                      S I M U L A T I O N   R E S U L T S                       
================================================================================
 time         | c   r   s   r   s   r   r   r   r   r   r   r   r   r   r   r 
 in 1e-09 sec | l   s   t   e   c   a   a   a   a   a   a   a   a   a   a   a 
              | k   t   a   a   o   m   m   m   m   m   m   m   m   m   m   m 
              |         r   d   r   _   _   _   _   _   _   _   _   _   _   _ 
              |         t   y   e   a   a   a   a   a   a   a   a   w   d   d 
              |         _   _   _   d   d   d   d   d   d   d   d   e   a   a 
              |         i   o   o   d   d   d   d   d   d   d   d       t   t 
              |         n   u   u   r   r   r   r   r   r   r   r       a   a 
              |             t   t   _   _   _   _   _   _   _   _       _   _ 
              |                     o   o   o   o   o   o   o   o       i   o 
              |                     u   u   u   u   u   u   u   u       n   u 
              |                     t   t   t   t   t   t   t   t           t 
              |                     _   _   _   _   _   _   _   _             
      30176.0 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0
      30177.6 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0
      30178.1 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0
      30258.0 | 0   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0
      30340.0 | 1   0   0   0   0   0   0   1   1   0   0   1   0   0   0   0
      30342.2 | 1   0   0   0   0   0   0   1   1   0   0   1   1   0   0   0
      30422.0 | 0   0   0   0   0   0   0   1   1   0   0   1   1   0   0   0
      30504.0 | 1   0   0   0   0   0   0   1   1   0   0   1   1   0   0   0
      30505.5 | 1   0   0   0   0   0   0   1   1   0   0   0   1   0   0   0
      30505.6 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0
      30506.3 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0
      30586.0 | 0   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0
      30668.0 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0
      30670.2 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0
      30750.0 | 0   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0
      30832.0 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   0   0
      30833.6 | 1   0   0   0   0   0   0   1   1   0   1   0   0   0   0   0
      30834.1 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0
      30914.0 | 0   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0
      30996.0 | 1   0   0   0   0   0   0   1   1   0   1   1   0   0   0   0
      30998.2 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0
      31078.0 | 0   0   0   0   0   0   0   1   1   0   1   1   1   0   0   0
      31160.0 | 1   0   0   0   0   0   0   1   1   0   1   1   1   0   1   0
      31161.5 | 1   0   0   0   0   0   0   1   1   0   1   0   1   0   1   0
      31161.6 | 1   0   0   0   0   0   0   1   1   0   0   0   0   0   1   0
      31162.3 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31242.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31324.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31406.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31488.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31489.6 | 1   0   0   1   0   0   0   1   1   1   0   0   0   0   1   0
      31490.5 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31570.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31652.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31734.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31816.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31898.0 | 0   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31980.0 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   1   0
      31982.2 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   1   0
      32062.0 | 0   0   0   0   0   0   0   1   1   1   0   0   1   0   1   0
      32144.0 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0
      32145.6 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0
      32146.1 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0
      32226.0 | 0   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0
      32308.0 | 1   0   0   0   0   0   0   1   1   1   0   1   0   0   0   0
      32310.2 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0
      32390.0 | 0   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0
      32472.0 | 1   0   0   0   0   0   0   1   1   1   0   1   1   0   0   0
      32473.5 | 1   0   0   0   0   0   0   1   1   1   0   0   1   0   0   0
      32473.6 | 1   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0
      32474.3 | 1   0   0   0   0   0   0   1   1   1   1   0   0   0   0   0
      32554.0 | 0   0   0   0   0   0   0   1   1   1   1   0   0   0   0   0
      32636.0 | 1   0   0   0   0   0   0   1   1   1   1   0   0   0   0   0
      32638.2 | 1   0   0   0   0   0   0   1   1   1   1   0   1   0   0   0
      32718.0 | 0   0   0   0   0   0   0   1   1   1   1   0   1   0   0   0
      32800.0 | 1   0   0   0   0   0   0   1   1   1   1   0   1   0   0   0
      32801.6 | 1   0   0   0   0   0   0   1   1   1   1   0   0   0   0   0
      32802.1 | 1   0   0   0   0   0   0   1   1   1   1   1   0   0   0   0
      32882.0 | 0   0   0   0   0   0   0   1   1   1   1   1   0   0   0   0
      32964.0 | 1   0   0   0   0   0   0   1   1   1   1   1   0   0   0   0
      32966.2 | 1   0   0   0   0   0   0   1   1   1   1   1   1   0   0   0
      33046.0 | 0   0   0   0   0   0   0   1   1   1   1   1   1   0   0   0
      33128.0 | 1   0   0   0   0   0   0   1   1   1   1   1   1   0   0   0
      33129.3 | 1   0   0   0   0   0   0   0   1   1   1   1   1   0   0   0
      33129.5 | 1   0   0   0   0   0   0   0   0   1   1   0   1   0   0   0
      33129.6 | 1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
      33129.9 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33210.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33292.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33374.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33456.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33457.6 | 1   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0
      33458.5 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33538.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33620.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33702.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33784.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33866.0 | 0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33948.0 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      33950.2 | 1   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0
      34030.0 | 0   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0
      34112.0 | 1   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0
      34113.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      34114.1 | 1   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0
      34194.0 | 0   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0
      34276.0 | 1   0   0   0   0   0   1   0   0   0   0   1   0   0   0   0
      34278.2 | 1   0   0   0   0   0   1   0   0   0   0   1   1   0   0   0
      34358.0 | 0   0   0   0   0   0   1   0   0   0   0   1   1   0   0   0
      34440.0 | 1   0   0   0   0   0   1   0   0   0   0   1   1   0   0   0
      34441.5 | 1   0   0   0   0   0   1   0   0   0   0   0   1   0   0   0
      34441.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      34442.3 | 1   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0
      34522.0 | 0   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0
      34604.0 | 1   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0
      34606.2 | 1   0   0   0   0   0   1   0   0   0   1   0   1   0   0   0
      34686.0 | 0   0   0   0   0   0   1   0   0   0   1   0   1   0   0   0
      34768.0 | 1   0   0   0   0   0   1   0   0   0   1   0   1   0   0   0
      34769.6 | 1   0   0   0   0   0   1   0   0   0   1   0   0   0   0   0
      34770.1 | 1   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0
      34850.0 | 0   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0
      34932.0 | 1   0   0   0   0   0   1   0   0   0   1   1   0   0   0   0
      34934.2 | 1   0   0   0   0   0   1   0   0   0   1   1   1   0   0   0
      35014.0 | 0   0   0   0   0   0   1   0   0   0   1   1   1   0   0   0
      35096.0 | 1   0   0   0   0   0   1   0   0   0   1   1   1   0   0   0
      35097.5 | 1   0   0   0   0   0   1   0   0   0   1   0   1   0   0   0
      35097.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      35098.3 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35178.0 | 0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35260.0 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35342.0 | 0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35424.0 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35425.6 | 1   0   0   1   0   0   1   0   0   1   0   0   0   0   0   0
      35426.5 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35506.0 | 0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35588.0 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35670.0 | 0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35752.0 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35834.0 | 0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35916.0 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      35918.2 | 1   0   0   0   0   0   1   0   0   1   0   0   1   0   0   0
      35998.0 | 0   0   0   0   0   0   1   0   0   1   0   0   1   0   0   0
      36080.0 | 1   0   0   0   0   0   1   0   0   1   0   0   1   0   0   0
      36081.6 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      36082.1 | 1   0   0   0   0   0   1   0   0   1   0   1   0   0   0   0
      36162.0 | 0   0   0   0   0   0   1   0   0   1   0   1   0   0   0   0
      36244.0 | 1   0   0   0   0   0   1   0   0   1   0   1   0   0   0   0
      36246.2 | 1   0   0   0   0   0   1   0   0   1   0   1   1   0   0   0
      36326.0 | 0   0   0   0   0   0   1   0   0   1   0   1   1   0   0   0
      36408.0 | 1   0   0   0   0   0   1   0   0   1   0   1   1   0   0   0
      36409.5 | 1   0   0   0   0   0   1   0   0   1   0   0   1   0   0   0
      36409.6 | 1   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0
      36410.3 | 1   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0
      36490.0 | 0   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0
      36572.0 | 1   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0
      36574.2 | 1   0   0   0   0   0   1   0   0   1   1   0   1   0   0   0
      36654.0 | 0   0   0   0   0   0   1   0   0   1   1   0   1   0   0   0
      36736.0 | 1   0   0   0   0   0   1   0   0   1   1   0   1   0   0   0
      36737.6 | 1   0   0   0   0   0   1   0   0   1   1   0   0   0   0   0
      36738.1 | 1   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0
      36818.0 | 0   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0
      36900.0 | 1   0   0   0   0   0   1   0   0   1   1   1   0   0   0   0
      36902.2 | 1   0   0   0   0   0   1   0   0   1   1   1   1   0   0   0
      36982.0 | 0   0   0   0   0   0   1   0   0   1   1   1   1   0   0   0
      37064.0 | 1   0   0   0   0   0   1   0   0   1   1   1   1   0   0   0
      37065.5 | 1   0   0   0   0   0   1   0   0   1   1   0   1   0   0   0
      37065.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      37066.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37146.0 | 0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37228.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37310.0 | 0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37392.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37393.6 | 1   0   0   1   0   0   1   0   1   0   0   0   0   0   0   0
      37394.5 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37474.0 | 0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37556.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37638.0 | 0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37720.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37802.0 | 0   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37884.0 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      37886.2 | 1   0   0   0   0   0   1   0   1   0   0   0   1   0   0   0
      37966.0 | 0   0   0   0   0   0   1   0   1   0   0   0   1   0   0   0
      38048.0 | 1   0   0   0   0   0   1   0   1   0   0   0   1   0   0   0
      38049.6 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      38050.1 | 1   0   0   0   0   0   1   0   1   0   0   1   0   0   0   0
      38130.0 | 0   0   0   0   0   0   1   0   1   0   0   1   0   0   0   0
      38212.0 | 1   0   0   0   0   0   1   0   1   0   0   1   0   0   0   0
      38214.2 | 1   0   0   0   0   0   1   0   1   0   0   1   1   0   0   0
      38294.0 | 0   0   0   0   0   0   1   0   1   0   0   1   1   0   0   0
      38376.0 | 1   0   0   0   0   0   1   0   1   0   0   1   1   0   0   0
      38377.5 | 1   0   0   0   0   0   1   0   1   0   0   0   1   0   0   0
      38377.6 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      38378.3 | 1   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0
      38458.0 | 0   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0
      38540.0 | 1   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0
      38542.2 | 1   0   0   0   0   0   1   0   1   0   1   0   1   0   0   0
      38622.0 | 0   0   0   0   0   0   1   0   1   0   1   0   1   0   0   0
      38704.0 | 1   0   0   0   0   0   1   0   1   0   1   0   1   0   0   0
      38705.6 | 1   0   0   0   0   0   1   0   1   0   1   0   0   0   0   0
      38706.1 | 1   0   0   0   0   0   1   0   1   0   1   1   0   0   0   0
      38786.0 | 0   0   0   0   0   0   1   0   1   0   1   1   0   0   0   0
      38868.0 | 1   0   0   0   0   0   1   0   1   0   1   1   0   0   0   0
      38870.2 | 1   0   0   0   0   0   1   0   1   0   1   1   1   0   0   0
      38950.0 | 0   0   0   0   0   0   1   0   1   0   1   1   1   0   0   0
      39032.0 | 1   0   0   0   0   0   1   0   1   0   1   1   1   0   0   0
      39033.5 | 1   0   0   0   0   0   1   0   1   0   1   0   1   0   0   0
      39033.6 | 1   0   0   0   0   0   1   0   1   0   0   0   0   0   0   0
      39034.3 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39114.0 | 0   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39196.0 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39278.0 | 0   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39360.0 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39361.6 | 1   0   0   1   0   0   1   0   1   1   0   0   0   0   0   0
      39362.5 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39442.0 | 0   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39524.0 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39606.0 | 0   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39688.0 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39770.0 | 0   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39852.0 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      39854.2 | 1   0   0   0   0   0   1   0   1   1   0   0   1   0   0   0
      39934.0 | 0   0   0   0   0   0   1   0   1   1   0   0   1   0   0   0
      40016.0 | 1   0   0   0   0   0   1   0   1   1   0   0   1   0   0   0
      40017.6 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      40018.1 | 1   0   0   0   0   0   1   0   1   1   0   1   0   0   0   0
      40098.0 | 0   0   0   0   0   0   1   0   1   1   0   1   0   0   0   0
      40180.0 | 1   0   0   0   0   0   1   0   1   1   0   1   0   0   0   0
      40182.2 | 1   0   0   0   0   0   1   0   1   1   0   1   1   0   0   0
      40262.0 | 0   0   0   0   0   0   1   0   1   1   0   1   1   0   0   0
      40344.0 | 1   0   0   0   0   0   1   0   1   1   0   1   1   0   0   0
      40345.5 | 1   0   0   0   0   0   1   0   1   1   0   0   1   0   0   0
      40345.6 | 1   0   0   0   0   0   1   0   1   1   0   0   0   0   0   0
      40346.3 | 1   0   0   0   0   0   1   0   1   1   1   0   0   0   0   0
      40426.0 | 0   0   0   0   0   0   1   0   1   1   1   0   0   0   0   0
      40508.0 | 1   0   0   0   0   0   1   0   1   1   1   0   0   0   0   0
      40510.2 | 1   0   0   0   0   0   1   0   1   1   1   0   1   0   0   0
      40590.0 | 0   0   0   0   0   0   1   0   1   1   1   0   1   0   0   0
      40672.0 | 1   0   0   0   0   0   1   0   1   1   1   0   1   0   0   0
      40673.6 | 1   0   0   0   0   0   1   0   1   1   1   0   0   0   0   0
      40674.1 | 1   0   0   0   0   0   1   0   1   1   1   1   0   0   0   0
      40754.0 | 0   0   0   0   0   0   1   0   1   1   1   1   0   0   0   0
      40836.0 | 1   0   0   0   0   0   1   0   1   1   1   1   0   0   0   0
      40838.2 | 1   0   0   0   0   0   1   0   1   1   1   1   1   0   0   0
      40918.0 | 0   0   0   0   0   0   1   0   1   1   1   1   1   0   0   0
      41000.0 | 1   0   0   0   0   0   1   0   1   1   1   1   1   0   0   0
      41001.5 | 1   0   0   0   0   0   1   0   0   1   1   0   1   0   0   0
      41001.6 | 1   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
      41001.8 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41082.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41164.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41246.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41328.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41329.6 | 1   0   0   1   0   0   1   1   0   0   0   0   0   0   0   0
      41330.5 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41410.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41492.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41574.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41656.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41738.0 | 0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41820.0 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41822.2 | 1   0   0   0   0   0   1   1   0   0   0   0   1   0   0   0
      41902.0 | 0   0   0   0   0   0   1   1   0   0   0   0   1   0   0   0
      41984.0 | 1   0   0   0   0   0   1   1   0   0   0   0   1   0   0   0
      41985.6 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      41986.1 | 1   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0
      42066.0 | 0   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0
      42148.0 | 1   0   0   0   0   0   1   1   0   0   0   1   0   0   0   0
      42150.2 | 1   0   0   0   0   0   1   1   0   0   0   1   1   0   0   0
      42230.0 | 0   0   0   0   0   0   1   1   0   0   0   1   1   0   0   0
      42312.0 | 1   0   0   0   0   0   1   1   0   0   0   1   1   0   0   0
      42313.5 | 1   0   0   0   0   0   1   1   0   0   0   0   1   0   0   0
      42313.6 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      42314.3 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      42394.0 | 0   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      42476.0 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      42478.2 | 1   0   0   0   0   0   1   1   0   0   1   0   1   0   0   0
      42558.0 | 0   0   0   0   0   0   1   1   0   0   1   0   1   0   0   0
      42640.0 | 1   0   0   0   0   0   1   1   0   0   1   0   1   0   0   0
      42641.6 | 1   0   0   0   0   0   1   1   0   0   1   0   0   0   0   0
      42642.1 | 1   0   0   0   0   0   1   1   0   0   1   1   0   0   0   0
      42722.0 | 0   0   0   0   0   0   1   1   0   0   1   1   0   0   0   0
      42804.0 | 1   0   0   0   0   0   1   1   0   0   1   1   0   0   0   0
      42806.2 | 1   0   0   0   0   0   1   1   0   0   1   1   1   0   0   0
      42886.0 | 0   0   0   0   0   0   1   1   0   0   1   1   1   0   0   0
      42968.0 | 1   0   0   0   0   0   1   1   0   0   1   1   1   0   0   0
      42969.5 | 1   0   0   0   0   0   1   1   0   0   1   0   1   0   0   0
      42969.6 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      42970.3 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43050.0 | 0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43132.0 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43214.0 | 0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43296.0 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43297.6 | 1   0   0   1   0   0   1   1   0   1   0   0   0   0   0   0
      43298.5 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43378.0 | 0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43460.0 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43542.0 | 0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43624.0 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43706.0 | 0   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43788.0 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43790.2 | 1   0   0   0   0   0   1   1   0   1   0   0   1   0   0   0
      43870.0 | 0   0   0   0   0   0   1   1   0   1   0   0   1   0   0   0
      43952.0 | 1   0   0   0   0   0   1   1   0   1   0   0   1   0   0   0
      43953.6 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      43954.1 | 1   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0
      44034.0 | 0   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0
      44116.0 | 1   0   0   0   0   0   1   1   0   1   0   1   0   0   0   0
      44118.2 | 1   0   0   0   0   0   1   1   0   1   0   1   1   0   0   0
      44198.0 | 0   0   0   0   0   0   1   1   0   1   0   1   1   0   0   0
      44280.0 | 1   0   0   0   0   0   1   1   0   1   0   1   1   0   0   0
      44281.5 | 1   0   0   0   0   0   1   1   0   1   0   0   1   0   0   0
      44281.6 | 1   0   0   0   0   0   1   1   0   1   0   0   0   0   0   0
      44282.3 | 1   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0
      44362.0 | 0   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0
      44444.0 | 1   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0
      44446.2 | 1   0   0   0   0   0   1   1   0   1   1   0   1   0   0   0
      44526.0 | 0   0   0   0   0   0   1   1   0   1   1   0   1   0   0   0
      44608.0 | 1   0   0   0   0   0   1   1   0   1   1   0   1   0   0   0
      44609.6 | 1   0   0   0   0   0   1   1   0   1   1   0   0   0   0   0
      44610.1 | 1   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0
      44690.0 | 0   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0
      44772.0 | 1   0   0   0   0   0   1   1   0   1   1   1   0   0   0   0
      44774.2 | 1   0   0   0   0   0   1   1   0   1   1   1   1   0   0   0
      44854.0 | 0   0   0   0   0   0   1   1   0   1   1   1   1   0   0   0
      44936.0 | 1   0   0   0   0   0   1   1   0   1   1   1   1   0   0   0
      44937.5 | 1   0   0   0   0   0   1   1   0   1   1   0   1   0   0   0
      44937.6 | 1   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0
      44938.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45018.0 | 0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45100.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45182.0 | 0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45264.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45265.6 | 1   0   0   1   0   0   1   1   1   0   0   0   0   0   0   0
      45266.5 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45346.0 | 0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45428.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45510.0 | 0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45592.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45674.0 | 0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45756.0 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45758.2 | 1   0   0   0   0   0   1   1   1   0   0   0   1   0   0   0
      45838.0 | 0   0   0   0   0   0   1   1   1   0   0   0   1   0   0   0
      45920.0 | 1   0   0   0   0   0   1   1   1   0   0   0   1   0   0   0
      45921.6 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      45922.1 | 1   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0
      46002.0 | 0   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0
      46084.0 | 1   0   0   0   0   0   1   1   1   0   0   1   0   0   0   0
      46086.2 | 1   0   0   0   0   0   1   1   1   0   0   1   1   0   0   0
      46166.0 | 0   0   0   0   0   0   1   1   1   0   0   1   1   0   0   0
      46248.0 | 1   0   0   0   0   0   1   1   1   0   0   1   1   0   0   0
      46249.5 | 1   0   0   0   0   0   1   1   1   0   0   0   1   0   0   0
      46249.6 | 1   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
      46250.3 | 1   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0
      46330.0 | 0   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0
      46412.0 | 1   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0
      46414.2 | 1   0   0   0   0   0   1   1   1   0   1   0   1   0   0   0
      46494.0 | 0   0   0   0   0   0   1   1   1   0   1   0   1   0   0   0
      46576.0 | 1   0   0   0   0   0   1   1   1   0   1   0   1   0   0   0
      46577.6 | 1   0   0   0   0   0   1   1   1   0   1   0   0   0   0   0
